Word,Relative_Frequency,User_Created,Times_Selected,Frequency
the,1,,0,"1,086,322,084"
and,0.524925431,,0,"570,238,088"
to,0.522060324,,0,"567,125,659"
of,0.47924654,,0,"520,616,100"
a,0.414995492,,0,"450,818,768"
in,0.319605611,,0,"347,194,633"
is,0.228643211,,0,"248,380,169"
that,0.206678883,,0,"224,519,835"
for,0.191829297,,0,"208,388,402"
I,0.168140981,,0,"182,655,261"
you,0.167954871,,0,"182,453,085"
it,0.164625551,,0,"178,836,372"
with,0.143713842,,0,"156,119,520"
on,0.132987578,,0,"144,467,343"
as,0.121096685,,0,"131,550,003"
are,0.117076557,,0,"127,182,849"
be,0.111692511,,0,"121,334,041"
this,0.108911876,,0,"118,313,376"
was,0.093229195,,0,"101,276,933"
have,0.091128626,,0,"98,995,039"
or,0.084098436,,0,"91,357,988"
at,0.081914819,,0,"88,985,877"
not,0.080347597,,0,"87,283,369"
your,0.079876543,,0,"86,771,653"
from,0.078075848,,0,"84,815,518"
we,0.074827524,,0,"81,286,792"
by,0.074187949,,0,"80,592,007"
will,0.069305357,,0,"75,287,940"
can,0.06754925,,0,"73,380,242"
but,0.067276342,,0,"73,083,776"
they,0.066757062,,0,"72,519,671"
an,0.065117904,,0,"70,739,017"
he,0.061907877,,0,"67,251,894"
all,0.056608469,,0,"61,495,030"
has,0.051622511,,0,"56,078,674"
if,0.051470266,,0,"55,913,287"
their,0.051079905,,0,"55,489,229"
one,0.04963829,,0,"53,923,171"
do,0.049595191,,0,"53,876,351"
more,0.048662669,,0,"52,863,332"
n't,0.04795808,,0,"52,097,921"
my,0.04792925,,0,"52,066,603"
his,0.046902488,,0,"50,951,208"
so,0.045302886,,0,"49,213,525"
there,0.043674591,,0,"47,444,673"
about,0.042983225,,0,"46,693,627"
which,0.042105039,,0,"45,739,634"
when,0.040990189,,0,"44,528,548"
what,0.040247117,,0,"43,721,332"
out,0.038021797,,0,"41,303,918"
up,0.037618345,,0,"40,865,639"
our,0.037509548,,0,"40,747,450"
who,0.036373994,,0,"39,513,873"
also,0.035971369,,0,"39,076,493"
had,0.034594096,,0,"37,580,331"
time,0.034443594,,0,"37,416,837"
some,0.033720519,,0,"36,631,344"
would,0.033395366,,0,"36,278,124"
were,0.031718228,,0,"34,456,212"
like,0.031432843,,0,"34,146,192"
been,0.03133829,,0,"34,043,476"
just,0.031113402,,0,"33,799,176"
her,0.031075526,,0,"33,758,030"
new,0.030710406,,0,"33,361,392"
other,0.030325255,,0,"32,942,994"
them,0.029554374,,0,"32,105,569"
she,0.028390747,,0,"30,841,495"
people,0.028003732,,0,"30,421,073"
these,0.027934961,,0,"30,346,365"
no,0.027555759,,0,"29,934,430"
get,0.027478754,,0,"29,850,777"
how,0.027261747,,0,"29,615,038"
me,0.026469619,,0,"28,754,532"
into,0.026366573,,0,"28,642,590"
than,0.025435996,,0,"27,631,684"
only,0.024425091,,0,"26,533,516"
its,0.024200355,,0,"26,289,380"
most,0.023967299,,0,"26,036,206"
may,0.023668058,,0,"25,711,134"
any,0.023665703,,0,"25,708,576"
many,0.022870087,,0,"24,844,281"
make,0.022454059,,0,"24,392,340"
then,0.022372982,,0,"24,304,264"
well,0.022111565,,0,"24,020,281"
first,0.022001231,,0,"23,900,423"
very,0.021833832,,0,"23,718,574"
over,0.021571393,,0,"23,433,481"
now,0.021419108,,0,"23,268,050"
could,0.020926017,,0,"22,732,394"
after,0.020771216,,0,"22,564,231"
even,0.020478353,,0,"22,246,087"
because,0.019861197,,0,"21,575,657"
us,0.019504922,,0,"21,188,627"
said,0.019440199,,0,"21,118,317"
good,0.019193624,,0,"20,850,458"
way,0.019104049,,0,"20,753,150"
two,0.018977396,,0,"20,615,564"
should,0.018745961,,0,"20,364,151"
work,0.01868177,,0,"20,294,419"
use,0.018603318,,0,"20,209,195"
through,0.017911396,,0,"19,457,545"
see,0.017725508,,0,"19,255,611"
know,0.017153031,,0,"18,633,716"
did,0.017138124,,0,"18,617,523"
much,0.017109729,,0,"18,586,676"
where,0.017055656,,0,"18,527,936"
years,0.01700727,,0,"18,475,373"
need,0.016709615,,0,"18,152,024"
him,0.016694353,,0,"18,135,444"
back,0.016649114,,0,"18,086,300"
such,0.016571872,,0,"18,002,390"
those,0.016012402,,0,"17,394,626"
being,0.015820984,,0,"17,186,684"
day,0.015784657,,0,"17,147,221"
take,0.015696237,,0,"17,051,169"
while,0.015637653,,0,"16,987,528"
here,0.01487365,,0,"16,157,575"
before,0.014830574,,0,"16,110,780"
does,0.014751169,,0,"16,024,521"
great,0.014547011,,0,"15,802,739"
year,0.014504413,,0,"15,756,464"
go,0.014029396,,0,"15,240,443"
help,0.013996321,,0,"15,204,513"
want,0.013993133,,0,"15,201,049"
really,0.01372138,,0,"14,905,838"
think,0.013374359,,0,"14,528,861"
best,0.013355354,,0,"14,508,216"
life,0.013328099,,0,"14,478,608"
each,0.013312511,,0,"14,461,675"
made,0.013259195,,0,"14,403,756"
right,0.013111642,,0,"14,243,466"
world,0.012991491,,0,"14,112,944"
business,0.012616545,,0,"13,705,631"
home,0.012599991,,0,"13,687,649"
own,0.012516464,,0,"13,596,911"
down,0.012467967,,0,"13,544,228"
still,0.01240211,,0,"13,472,686"
used,0.012328095,,0,"13,392,282"
find,0.012320723,,0,"13,384,274"
around,0.012167874,,0,"13,218,230"
going,0.011898502,,0,"12,925,606"
every,0.011859063,,0,"12,882,762"
both,0.011679594,,0,"12,687,801"
last,0.011595968,,0,"12,596,956"
off,0.011569725,,0,"12,568,448"
too,0.011479808,,0,"12,470,769"
same,0.011432415,,0,"12,419,285"
information,0.011075365,,0,"12,031,414"
little,0.010766303,,0,"11,695,673"
another,0.010623774,,0,"11,540,840"
look,0.010524255,,0,"11,432,731"
few,0.010495516,,0,"11,401,511"
long,0.010369788,,0,"11,264,930"
part,0.010280685,,0,"11,168,135"
since,0.010258405,,0,"11,143,932"
things,0.010252806,,0,"11,137,850"
place,0.010245018,,0,"11,129,389"
am,0.010038642,,0,"10,905,198"
between,0.009960935,,0,"10,820,784"
during,0.009949255,,0,"10,808,095"
different,0.009939053,,0,"10,797,013"
must,0.009841122,,0,"10,690,628"
come,0.009817009,,0,"10,664,434"
using,0.009654397,,0,"10,487,785"
however,0.009645115,,0,"10,477,701"
without,0.0095512,,0,"10,375,679"
high,0.00945611,,0,"10,272,381"
why,0.009426274,,0,"10,239,970"
something,0.009425096,,0,"10,238,690"
online,0.009381351,,0,"10,191,169"
system,0.009308803,,0,"10,112,358"
better,0.009279119,,0,"10,080,112"
three,0.009269696,,0,"10,069,875"
never,0.009242471,,0,"10,040,300"
always,0.00922474,,0,"10,021,039"
love,0.009185369,,0,"9,978,269"
say,0.009150194,,0,"9,940,058"
might,0.008982671,,0,"9,758,074"
next,0.008586241,,0,"9,327,423"
company,0.008574749,,0,"9,314,939"
state,0.008481563,,0,"9,213,709"
number,0.008469585,,0,"9,200,697"
again,0.008429671,,0,"9,157,338"
free,0.008413316,,0,"9,139,571"
lot,0.00838647,,0,"9,110,408"
under,0.008284082,,0,"8,999,181"
family,0.008232125,,0,"8,942,739"
found,0.008166999,,0,"8,871,991"
within,0.008120089,,0,"8,821,032"
give,0.008116348,,0,"8,816,968"
set,0.008115046,,0,"8,815,554"
school,0.008060074,,0,"8,755,836"
important,0.008048951,,0,"8,743,753"
water,0.007994938,,0,"8,685,078"
able,0.007981421,,0,"8,670,394"
keep,0.007960998,,0,"8,648,208"
got,0.007955472,,0,"8,642,205"
sure,0.007872847,,0,"8,552,448"
end,0.00787162,,0,"8,551,115"
money,0.00785666,,0,"8,534,863"
service,0.007844456,,0,"8,521,606"
small,0.007842917,,0,"8,519,934"
put,0.007712951,,0,"8,378,749"
experience,0.007699847,,0,"8,364,514"
having,0.007622843,,0,"8,280,863"
once,0.007581673,,0,"8,236,139"
available,0.007567244,,0,"8,220,464"
health,0.007511282,,0,"8,159,671"
support,0.007485655,,0,"8,131,832"
often,0.007464411,,0,"8,108,755"
including,0.007440113,,0,"8,082,359"
days,0.007319898,,0,"7,951,767"
away,0.007230286,,0,"7,854,419"
old,0.007199401,,0,"7,820,868"
area,0.00718037,,0,"7,800,194"
feel,0.00715783,,0,"7,775,709"
read,0.007130102,,0,"7,745,587"
show,0.007097746,,0,"7,710,438"
big,0.007034561,,0,"7,641,799"
against,0.007028988,,0,"7,635,745"
thing,0.007027604,,0,"7,634,241"
order,0.007023461,,0,"7,629,741"
program,0.00700629,,0,"7,611,088"
though,0.007002594,,0,"7,607,072"
city,0.006959107,,0,"7,559,832"
group,0.006951108,,0,"7,551,142"
services,0.00693814,,0,"7,537,055"
site,0.006935996,,0,"7,534,726"
making,0.006904571,,0,"7,500,588"
course,0.00688794,,0,"7,482,521"
point,0.006864569,,0,"7,457,133"
children,0.00684023,,0,"7,430,693"
times,0.006811031,,0,"7,398,973"
team,0.00680314,,0,"7,390,401"
game,0.006794955,,0,"7,381,510"
along,0.00677971,,0,"7,364,949"
let,0.006704087,,0,"7,282,798"
house,0.006697971,,0,"7,276,154"
today,0.006689011,,0,"7,266,420"
body,0.006670936,,0,"7,246,785"
working,0.006647073,,0,"7,220,862"
case,0.006642806,,0,"7,216,227"
man,0.006635832,,0,"7,208,651"
real,0.006628364,,0,"7,200,538"
provide,0.006624555,,0,"7,196,400"
care,0.006589148,,0,"7,157,937"
public,0.006580371,,0,"7,148,402"
top,0.006571428,,0,"7,138,687"
looking,0.006551938,,0,"7,117,515"
several,0.006538382,,0,"7,102,789"
start,0.006535156,,0,"7,099,284"
less,0.006501283,,0,"7,062,487"
process,0.006455805,,0,"7,013,084"
become,0.006449223,,0,"7,005,933"
actually,0.006446769,,0,"7,003,268"
local,0.006431445,,0,"6,986,621"
together,0.006389012,,0,"6,940,525"
person,0.006375796,,0,"6,926,168"
change,0.006365619,,0,"6,915,113"
book,0.006346131,,0,"6,893,942"
enough,0.006330627,,0,"6,877,100"
getting,0.006305745,,0,"6,850,070"
week,0.006294445,,0,"6,837,795"
power,0.006283127,,0,"6,825,500"
until,0.006279217,,0,"6,821,252"
market,0.006278657,,0,"6,820,644"
fact,0.006253933,,0,"6,793,786"
god,0.006187566,,0,"6,721,690"
food,0.006164898,,0,"6,697,065"
students,0.006161501,,0,"6,693,375"
full,0.006154503,,0,"6,685,773"
women,0.00612685,,0,"6,655,732"
community,0.006120878,,0,"6,649,245"
name,0.006108613,,0,"6,635,921"
second,0.00610273,,0,"6,629,530"
data,0.005978432,,0,"6,494,503"
government,0.005977773,,0,"6,493,787"
says,0.005941346,,0,"6,454,215"
others,0.005934049,,0,"6,446,289"
ever,0.005916872,,0,"6,427,629"
yet,0.005885271,,0,"6,393,300"
research,0.005876458,,0,"6,383,726"
done,0.005838543,,0,"6,342,538"
left,0.005834386,,0,"6,338,022"
far,0.005766974,,0,"6,264,791"
large,0.005755556,,0,"6,252,388"
called,0.005735066,,0,"6,230,129"
doing,0.005722237,,0,"6,216,192"
already,0.005715668,,0,"6,209,056"
development,0.005709765,,0,"6,202,644"
social,0.005663583,,0,"6,152,475"
open,0.005658645,,0,"6,147,111"
possible,0.005594526,,0,"6,077,457"
side,0.005582262,,0,"6,064,135"
play,0.005526169,,0,"6,003,199"
means,0.005508229,,0,"5,983,711"
needs,0.005494563,,0,"5,968,865"
try,0.005473029,,0,"5,945,472"
came,0.00547094,,0,"5,943,203"
ca,0.005460588,,0,"5,931,957"
based,0.005415248,,0,"5,882,703"
hard,0.005406588,,0,"5,873,296"
thought,0.005390601,,0,"5,855,929"
products,0.005382203,,0,"5,846,806"
national,0.005361168,,0,"5,823,955"
quality,0.005335072,,0,"5,795,607"
level,0.005327564,,0,"5,787,450"
live,0.005307148,,0,"5,765,272"
design,0.005287279,,0,"5,743,688"
makes,0.005275891,,0,"5,731,317"
project,0.005252999,,0,"5,706,449"
line,0.005209809,,0,"5,659,531"
night,0.005198831,,0,"5,647,605"
least,0.005193715,,0,"5,642,047"
whether,0.005175288,,0,"5,622,030"
job,0.005161912,,0,"5,607,499"
car,0.005160728,,0,"5,606,213"
example,0.005160722,,0,"5,606,206"
include,0.005135126,,0,"5,578,401"
following,0.005121257,,0,"5,563,335"
given,0.00512083,,0,"5,562,871"
website,0.005084624,,0,"5,523,539"
past,0.005082648,,0,"5,521,393"
plan,0.005077115,,0,"5,515,382"
offer,0.0050761,,0,"5,514,280"
buy,0.005069136,,0,"5,506,714"
call,0.005067112,,0,"5,504,516"
went,0.005044605,,0,"5,480,066"
simply,0.005021262,,0,"5,454,708"
hand,0.005016859,,0,"5,449,925"
music,0.00501013,,0,"5,442,615"
easy,0.004988765,,0,"5,419,406"
problem,0.004974051,,0,"5,403,421"
men,0.004966138,,0,"5,394,825"
country,0.004958446,,0,"5,386,469"
took,0.004950396,,0,"5,377,725"
four,0.004950385,,0,"5,377,713"
members,0.004941637,,0,"5,368,209"
form,0.004928591,,0,"5,354,037"
personal,0.004924748,,0,"5,349,863"
control,0.004909741,,0,"5,333,560"
energy,0.004898759,,0,"5,321,630"
room,0.00488826,,0,"5,310,225"
head,0.004865312,,0,"5,285,296"
pay,0.0048336,,0,"5,250,846"
create,0.004815438,,0,"5,231,117"
run,0.004814958,,0,"5,230,595"
kind,0.004810281,,0,"5,225,514"
credit,0.004808344,,0,"5,223,410"
almost,0.004793622,,0,"5,207,417"
believe,0.004756818,,0,"5,167,436"
quite,0.004754114,,0,"5,164,499"
mind,0.004742009,,0,"5,151,349"
law,0.004738478,,0,"5,147,513"
early,0.004736003,,0,"5,144,825"
comes,0.004729745,,0,"5,138,026"
states,0.004728896,,0,"5,137,104"
usually,0.004724274,,0,"5,132,083"
companies,0.004719355,,0,"5,126,740"
web,0.004707549,,0,"5,113,914"
taking,0.004692202,,0,"5,097,243"
started,0.004690417,,0,"5,095,304"
later,0.004688361,,0,"5,093,070"
although,0.004681048,,0,"5,085,126"
story,0.004679345,,0,"5,083,276"
per,0.004673768,,0,"5,077,217"
future,0.004671653,,0,"5,074,920"
known,0.004663393,,0,"5,065,947"
someone,0.004658974,,0,"5,061,146"
across,0.004623375,,0,"5,022,474"
rather,0.00462187,,0,"5,020,839"
young,0.004607165,,0,"5,004,865"
whole,0.004604624,,0,"5,002,105"
special,0.004596942,,0,"4,993,760"
everything,0.004588924,,0,"4,985,049"
months,0.004577562,,0,"4,972,707"
anything,0.004571059,,0,"4,965,642"
training,0.004567693,,0,"4,961,986"
url,0.004563171,,0,"4,957,073"
bit,0.004547771,,0,"4,940,344"
seen,0.004543768,,0,"4,935,996"
product,0.004537823,,0,"4,929,537"
american,0.004528007,,0,"4,918,874"
please,0.004517805,,0,"4,907,791"
management,0.004516753,,0,"4,906,649"
cost,0.004512478,,0,"4,902,004"
either,0.004501842,,0,"4,890,450"
light,0.004499026,,0,"4,887,391"
university,0.004459612,,0,"4,844,575"
face,0.00445193,,0,"4,836,230"
due,0.004450411,,0,"4,834,580"
nothing,0.004439217,,0,"4,822,420"
human,0.004435846,,0,"4,818,757"
event,0.004417275,,0,"4,798,583"
history,0.004410302,,0,"4,791,009"
probably,0.004401512,,0,"4,781,460"
friends,0.004381377,,0,"4,759,587"
learn,0.00437454,,0,"4,752,159"
current,0.004370843,,0,"4,748,143"
tell,0.004368893,,0,"4,746,025"
general,0.004367256,,0,"4,744,247"
price,0.004366457,,0,"4,743,379"
list,0.004358456,,0,"4,734,687"
type,0.004340035,,0,"4,714,676"
building,0.004338157,,0,"4,712,636"
industry,0.004322566,,0,"4,695,699"
bad,0.004311842,,0,"4,684,049"
check,0.004300621,,0,"4,671,860"
everyone,0.004277365,,0,"4,646,596"
office,0.004276917,,0,"4,646,109"
idea,0.004268863,,0,"4,637,360"
internet,0.004267543,,0,"4,635,926"
news,0.004262265,,0,"4,630,193"
million,0.004255836,,0,"4,623,209"
video,0.004252407,,0,"4,619,484"
among,0.004245281,,0,"4,611,742"
air,0.004238642,,0,"4,604,530"
especially,0.004232562,,0,"4,597,926"
told,0.004229136,,0,"4,594,204"
results,0.004203913,,0,"4,566,804"
post,0.004197475,,0,"4,559,810"
hours,0.004190101,,0,"4,551,799"
international,0.004177068,,0,"4,537,641"
center,0.004176213,,0,"4,536,712"
understand,0.00417008,,0,"4,530,050"
above,0.004165329,,0,"4,524,889"
addition,0.004152347,,0,"4,510,786"
major,0.004151564,,0,"4,509,936"
education,0.004137966,,0,"4,495,164"
white,0.004135756,,0,"4,492,763"
particular,0.004132718,,0,"4,489,463"
problems,0.004124038,,0,"4,480,034"
media,0.004110275,,0,"4,465,083"
according,0.004105156,,0,"4,459,522"
upon,0.004098871,,0,"4,452,694"
page,0.004095148,,0,"4,448,650"
continue,0.004086468,,0,"4,439,220"
black,0.004084621,,0,"4,437,214"
study,0.004081577,,0,"4,433,907"
issues,0.004081484,,0,"4,433,806"
inside,0.004080142,,0,"4,432,348"
technology,0.004066287,,0,"4,417,297"
five,0.004065837,,0,"4,416,809"
value,0.004060537,,0,"4,411,051"
further,0.004041748,,0,"4,390,640"
access,0.004040187,,0,"4,388,944"
reason,0.004037292,,0,"4,385,799"
short,0.004028329,,0,"4,376,063"
TRUE,0.004022876,,0,"4,370,139"
simple,0.004020441,,0,"4,367,494"
natural,0.004003868,,0,"4,349,490"
amount,0.003966222,,0,"4,308,595"
search,0.00393928,,0,"4,279,327"
result,0.003929344,,0,"4,268,533"
taken,0.003928337,,0,"4,267,439"
main,0.00391997,,0,"4,258,350"
heart,0.003901337,,0,"4,238,109"
space,0.003886602,,0,"4,222,102"
financial,0.003884556,,0,"4,219,879"
ago,0.003874603,,0,"4,209,067"
trying,0.003874553,,0,"4,209,012"
question,0.003868689,,0,"4,202,642"
living,0.003867182,,0,"4,201,005"
likely,0.003866967,,0,"4,200,772"
interest,0.003863154,,0,"4,196,629"
various,0.003851916,,0,"4,184,421"
insurance,0.003841268,,0,"4,172,854"
common,0.00382752,,0,"4,157,919"
move,0.0038224,,0,"4,152,358"
child,0.003819055,,0,"4,148,724"
yourself,0.003804976,,0,"4,133,429"
report,0.003800174,,0,"4,128,213"
certain,0.003793335,,0,"4,120,784"
share,0.003787707,,0,"4,114,670"
single,0.003779952,,0,"4,106,245"
close,0.003776591,,0,"4,102,594"
instead,0.003774011,,0,"4,099,791"
bring,0.003773246,,0,"4,098,961"
works,0.003771924,,0,"4,097,524"
age,0.00374823,,0,"4,071,785"
s,0.003737589,,0,"4,060,226"
season,0.003736344,,0,"4,058,873"
hope,0.003732157,,0,"4,054,325"
coming,0.003728084,,0,"4,049,900"
areas,0.003714245,,0,"4,034,866"
ask,0.003712147,,0,"4,032,587"
medical,0.003705562,,0,"4,025,434"
low,0.003700976,,0,"4,020,452"
games,0.003697705,,0,"4,016,899"
turn,0.003688265,,0,"4,006,644"
key,0.003685084,,0,"4,003,188"
party,0.003670358,,0,"3,987,191"
add,0.003659625,,0,"3,975,531"
month,0.003658626,,0,"3,974,446"
seems,0.00365547,,0,"3,971,018"
view,0.003648194,,0,"3,963,114"
fun,0.003644902,,0,"3,959,538"
matter,0.003634039,,0,"3,947,737"
words,0.003627054,,0,"3,940,149"
needed,0.003624693,,0,"3,937,584"