"year","teamid","rank","games","wins","loses","WSWin","runs","at_basts","hits","doubles","triples","home_runs","walks","strikeouts","stolen_bases","caught_stealing","sacrifice_flies","runs_against","earned_runs","earned_run_average","errors","fielding_percentage"
1985,"ATL",5,162,66,96,"N",632,5526,1359,213,28,126,553,849,72,"52","",781,678,4.19,159,0.976
1985,"BAL",4,161,83,78,"N",818,5517,1451,234,22,214,604,908,69,"43","",764,694,4.38,115,0.98
1985,"BOS",5,163,81,81,"N",800,5720,1615,292,31,162,562,816,66,"27","",720,659,4.06,145,0.977
1985,"CAL",2,162,90,72,"N",732,5442,1364,215,31,153,648,902,106,"51","",703,633,3.91,112,0.982
1985,"CHA",3,163,85,77,"N",736,5470,1386,247,37,146,471,843,108,"56","",720,656,4.07,111,0.982
1985,"CHN",4,162,77,84,"N",686,5492,1397,239,28,150,562,937,182,"49","",729,667,4.16,134,0.979
1985,"CIN",2,162,89,72,"N",677,5431,1385,249,34,114,576,856,159,"70","",666,598,3.71,121,0.98
1985,"CLE",7,162,60,102,"N",729,5527,1465,254,31,116,492,817,132,"72","",861,775,4.91,141,0.977
1985,"DET",3,161,84,77,"N",729,5575,1413,254,45,202,526,926,75,"41","",688,612,3.78,141,0.977
1985,"HOU",3,162,83,79,"N",706,5582,1457,261,42,121,477,873,96,"56","",691,593,3.66,152,0.976
1985,"KCA",1,162,91,71,"Y",687,5500,1384,261,49,154,473,840,128,"48","",639,567,3.49,127,0.98
1985,"LAN",1,162,95,67,"N",682,5502,1434,226,28,129,539,846,136,"58","",579,482,2.96,166,0.974
1985,"MIN",4,162,77,85,"N",705,5509,1453,282,41,141,502,779,68,"44","",782,710,4.48,120,0.98
1985,"ML4",6,161,71,90,"N",690,5568,1467,250,44,101,462,746,69,"34","",802,701,4.39,142,0.977
1985,"MON",3,161,84,77,"N",633,5429,1342,242,49,118,492,880,169,"77","",636,575,3.55,121,0.981
1985,"NYA",2,161,97,64,"N",839,5458,1458,272,31,176,620,771,155,"53","",660,590,3.69,123,0.979
1985,"NYN",2,162,98,64,"N",695,5549,1425,239,35,134,546,872,117,"53","",568,514,3.11,115,0.982
1985,"OAK",4,162,77,85,"N",757,5581,1475,230,34,155,508,861,117,"58","",787,712,4.41,140,0.977
1985,"PHI",5,162,75,87,"N",667,5477,1343,238,47,141,527,1095,122,"51","",673,592,3.68,139,0.978
1985,"PIT",6,161,57,104,"N",568,5436,1340,251,28,80,514,842,110,"60","",708,637,3.97,133,0.979
1985,"SDN",3,162,83,79,"N",650,5507,1405,241,28,109,513,809,60,"39","",622,548,3.4,124,0.98
1985,"SEA",6,162,74,88,"N",719,5521,1410,277,38,171,564,942,94,"35","",818,745,4.68,122,0.98
1985,"SFN",6,162,62,100,"N",556,5420,1263,217,31,115,488,962,99,"55","",674,581,3.61,144,0.977
1985,"SLN",1,162,101,61,"N",747,5467,1446,245,59,87,586,853,314,"96","",572,504,3.1,108,0.983
1985,"TEX",7,161,62,99,"N",617,5361,1359,213,41,129,530,819,130,"76","",785,715,4.56,119,0.98
1985,"TOR",1,161,99,62,"N",759,5508,1482,281,53,158,503,807,144,"77","",588,533,3.31,125,0.98
1986,"ATL",6,161,72,89,"N",615,5384,1348,241,24,138,538,904,93,"76","",719,628,3.97,141,0.978
1986,"BAL",7,162,73,89,"N",708,5524,1425,223,13,169,563,862,64,"34","",760,686,4.3,135,0.978
1986,"BOS",1,161,95,66,"N",794,5498,1488,320,21,144,595,707,41,"34","",696,624,3.93,129,0.979
1986,"CAL",1,162,92,70,"N",786,5433,1387,236,36,167,671,860,109,"42","",684,621,3.84,107,0.983
1986,"CHA",5,162,72,90,"N",644,5406,1335,197,34,121,487,940,115,"54","",699,630,3.93,117,0.981
1986,"CHN",5,160,70,90,"N",680,5499,1409,258,27,155,508,966,132,"62","",781,721,4.49,124,0.98
1986,"CIN",2,162,86,76,"N",732,5536,1404,237,35,144,586,920,177,"53","",717,638,3.91,140,0.978
1986,"CLE",5,163,84,78,"N",831,5702,1620,270,45,157,456,944,141,"54","",841,736,4.58,156,0.975
1986,"DET",3,162,87,75,"N",798,5512,1447,234,30,198,613,885,138,"58","",714,645,4.02,108,0.982
1986,"HOU",1,162,96,66,"N",654,5441,1388,244,32,125,536,916,163,"75","",569,510,3.15,130,0.978
1986,"KCA",3,162,76,86,"N",654,5561,1403,264,45,137,474,919,97,"46","",673,611,3.82,123,0.98
1986,"LAN",5,162,73,89,"N",638,5471,1373,232,14,130,478,966,155,"67","",679,607,3.76,179,0.972
1986,"MIN",6,162,71,91,"N",741,5531,1446,257,39,196,501,977,81,"61","",839,759,4.77,118,0.98
1986,"ML4",6,161,77,84,"N",667,5461,1393,255,38,127,530,986,100,"50","",734,638,4.01,146,0.976
1986,"MON",4,161,78,83,"N",637,5508,1401,255,50,110,537,1016,193,"95","",688,616,3.78,133,0.979
1986,"NYA",2,162,90,72,"N",797,5570,1512,275,23,188,645,911,139,"48","",738,659,4.11,127,0.979
1986,"NYN",1,162,108,54,"Y",783,5558,1462,261,31,148,631,968,118,"48","",578,513,3.11,138,0.978
1986,"OAK",3,162,76,86,"N",731,5435,1370,213,25,163,553,983,139,"61","",760,686,4.31,135,0.978
1986,"PHI",2,161,86,75,"N",739,5483,1386,266,39,154,589,1154,153,"59","",713,621,3.85,137,0.978
1986,"PIT",6,162,64,98,"N",663,5456,1366,273,33,111,569,929,152,"84","",700,628,3.9,142,0.978
1986,"SDN",4,162,74,88,"N",656,5515,1442,239,25,136,484,917,96,"68","",723,640,3.99,135,0.978
1986,"SEA",7,162,67,95,"N",718,5498,1392,243,41,158,572,1148,93,"76","",835,743,4.65,156,0.975
1986,"SFN",3,162,83,79,"N",698,5501,1394,269,29,114,536,1087,148,"93","",618,540,3.33,143,0.977
1986,"SLN",3,161,79,82,"N",601,5378,1270,216,48,58,568,905,262,"78","",611,549,3.37,123,0.981
1986,"TEX",2,162,87,75,"N",771,5529,1479,248,43,184,511,1088,103,"85","",743,662,4.11,120,0.98
1986,"TOR",4,163,86,76,"N",809,5716,1540,285,35,181,496,848,110,"59","",733,669,4.08,100,0.984
1987,"ATL",5,161,69,92,"N",747,5428,1401,284,24,152,641,834,135,"68","",829,734,4.63,116,0.982
1987,"BAL",6,162,67,95,"N",729,5576,1437,219,20,211,524,939,69,"45","",880,801,5.01,109,0.982
1987,"BOS",5,162,78,84,"N",842,5586,1554,273,26,174,606,825,77,"45","",825,761,4.77,110,0.982
1987,"CAL",6,162,75,87,"N",770,5570,1406,257,26,172,590,926,125,"44","",803,709,4.38,117,0.981
1987,"CHA",5,162,77,85,"N",748,5538,1427,283,36,173,487,971,138,"52","",746,691,4.3,115,0.981
1987,"CHN",6,161,76,85,"N",720,5583,1475,244,33,209,504,1064,109,"48","",801,725,4.55,130,0.979
1987,"CIN",2,162,84,78,"N",783,5560,1478,262,29,192,514,928,169,"46","",752,684,4.24,128,0.979
1987,"CLE",7,162,61,101,"N",742,5606,1476,267,30,187,489,977,140,"54","",957,834,5.28,152,0.975
1987,"DET",1,162,98,64,"N",896,5649,1535,274,32,225,653,913,106,"50","",735,650,4.02,122,0.98
1987,"HOU",3,162,76,86,"N",648,5485,1386,238,28,122,526,936,162,"46","",678,615,3.84,115,0.981
1987,"KCA",2,162,83,79,"N",715,5499,1443,239,40,168,523,1034,125,"43","",691,611,3.86,131,0.979
1987,"LAN",4,162,73,89,"N",635,5517,1389,236,23,125,445,923,128,"59","",675,601,3.72,155,0.975
1987,"MIN",1,162,85,77,"Y",786,5441,1422,258,35,196,523,898,113,"65","",806,734,4.63,98,0.984
1987,"ML4",3,162,91,71,"N",862,5625,1552,272,46,163,598,1040,176,"74","",817,752,4.62,145,0.976
1987,"MON",3,162,91,71,"N",741,5527,1467,310,39,120,501,918,166,"74","",720,632,3.92,147,0.976
1987,"NYA",4,162,89,73,"N",788,5511,1445,239,16,196,604,949,105,"43","",758,701,4.36,102,0.983
1987,"NYN",2,162,92,70,"N",823,5601,1499,287,34,192,592,1012,159,"49","",698,620,3.84,137,0.978
1987,"OAK",3,162,81,81,"N",806,5511,1432,263,33,199,593,1056,140,"63","",789,694,4.32,142,0.977
1987,"PHI",4,162,80,82,"N",702,5475,1390,248,51,169,587,1109,111,"49","",749,673,4.18,121,0.98
1987,"PIT",4,162,80,82,"N",723,5536,1464,282,45,131,535,914,140,"58","",744,674,4.2,123,0.98
1987,"SDN",6,162,65,97,"N",668,5456,1419,209,48,113,577,992,198,"91","",763,680,4.27,146,0.976
1987,"SEA",4,162,78,84,"N",760,5508,1499,282,48,161,500,863,174,"73","",801,713,4.49,121,0.98
1987,"SFN",1,162,90,72,"N",783,5608,1458,274,32,205,511,1094,126,"97","",669,601,3.68,129,0.98
1987,"SLN",1,162,95,67,"N",798,5500,1449,252,49,94,644,933,248,"72","",693,637,3.91,116,0.982
1987,"TEX",6,162,75,87,"N",823,5564,1478,264,35,194,567,1081,120,"71","",849,743,4.63,148,0.976
1987,"TOR",2,162,96,66,"N",845,5635,1514,277,38,215,555,970,126,"50","",655,604,3.74,111,0.982
1988,"ATL",6,160,54,106,"N",555,5440,1319,228,28,96,432,848,95,"69","",741,657,4.09,151,0.976
1988,"BAL",7,161,54,107,"N",550,5358,1275,199,20,137,504,869,69,"44","",789,714,4.54,118,0.981
1988,"BOS",1,162,89,73,"N",813,5545,1569,310,39,124,623,728,65,"36","",689,629,3.97,93,0.984
1988,"CAL",4,162,75,87,"N",714,5582,1458,258,31,124,469,819,86,"52","",771,698,4.32,135,0.979
1988,"CHA",5,161,71,90,"N",631,5449,1327,224,35,132,446,908,98,"46","",757,659,4.12,154,0.976
1988,"CHN",4,163,77,85,"N",660,5675,1481,262,46,113,403,910,120,"46","",694,625,3.84,125,0.98
1988,"CIN",2,161,87,74,"N",641,5426,1334,246,25,122,479,922,207,"56","",596,542,3.35,121,0.98
1988,"CLE",6,162,78,84,"N",666,5505,1435,235,28,134,416,866,97,"50","",731,663,4.16,124,0.98
1988,"DET",2,162,88,74,"N",703,5433,1358,213,28,143,588,841,87,"42","",658,596,3.71,109,0.982
1988,"HOU",5,162,82,80,"N",617,5494,1338,239,31,96,474,840,198,"71","",631,558,3.41,138,0.978
1988,"KCA",3,161,84,77,"N",704,5469,1419,275,40,121,486,944,137,"54","",648,579,3.65,124,0.98
1988,"LAN",1,162,94,67,"Y",628,5431,1346,217,25,99,437,947,131,"46","",544,481,2.96,142,0.977
1988,"MIN",2,162,91,71,"N",759,5510,1508,294,31,151,528,832,107,"63","",672,625,3.93,83,0.986
1988,"ML4",3,162,87,75,"N",682,5488,1409,258,26,113,439,911,159,"55","",616,555,3.45,120,0.981
1988,"MON",3,163,81,81,"N",628,5573,1400,260,48,107,454,1053,189,"89","",592,507,3.08,142,0.978
1988,"NYA",5,161,85,76,"N",772,5592,1469,272,12,148,588,935,146,"39","",748,689,4.26,134,0.978
1988,"NYN",1,160,100,60,"N",703,5408,1387,251,24,152,544,842,140,"51","",532,465,2.91,115,0.981
1988,"OAK",1,162,104,58,"N",800,5602,1474,251,22,156,580,926,129,"54","",620,569,3.44,105,0.983
1988,"PHI",6,162,65,96,"N",597,5403,1294,246,31,106,489,981,112,"49","",734,659,4.14,145,0.976
1988,"PIT",2,160,85,75,"N",651,5379,1327,240,45,110,553,947,119,"60","",616,555,3.47,124,0.98
1988,"SDN",3,161,83,78,"N",594,5366,1325,205,35,94,494,892,123,"50","",583,528,3.28,116,0.981
1988,"SEA",7,161,68,93,"N",664,5436,1397,271,27,148,461,787,95,"61","",744,658,4.15,123,0.98
1988,"SFN",4,162,83,79,"N",670,5450,1353,227,44,113,550,1023,121,"78","",626,551,3.39,129,0.98
1988,"SLN",5,162,76,86,"N",578,5518,1373,207,33,71,484,827,234,"64","",633,567,3.47,121,0.981
1988,"TEX",6,161,70,91,"N",637,5479,1378,227,39,112,542,1022,130,"57","",735,647,4.05,129,0.979
1988,"TOR",3,162,87,75,"N",763,5557,1491,271,47,158,521,935,107,"36","",680,612,3.8,110,0.982
1989,"ATL",6,161,63,97,"N",584,5463,1281,201,22,128,485,996,83,"54","",680,595,3.7,152,0.976
1989,"BAL",2,162,87,75,"N",708,5440,1369,238,33,129,593,957,118,"55","",686,644,4.0,87,0.986
1989,"BOS",3,162,83,79,"N",774,5666,1571,326,30,108,643,755,56,"35","",735,651,4.01,127,0.98
1989,"CAL",3,162,91,71,"N",669,5545,1422,208,37,145,429,1011,89,"40","",578,530,3.28,96,0.985
1989,"CHA",7,161,69,92,"N",693,5504,1493,262,36,94,464,873,97,"52","",750,668,4.23,151,0.975
1989,"CHN",1,162,93,69,"N",702,5513,1438,235,45,124,472,921,136,"57","",623,556,3.43,119,0.981
1989,"CIN",5,162,75,87,"N",632,5520,1362,243,28,128,493,1028,128,"71","",691,607,3.73,121,0.98
1989,"CLE",6,162,73,89,"N",604,5463,1340,221,26,127,499,934,74,"51","",654,589,3.65,118,0.981
1989,"DET",7,162,59,103,"N",617,5432,1315,198,24,116,585,899,103,"50","",816,718,4.53,130,0.979
1989,"HOU",3,162,86,76,"N",647,5516,1316,239,28,97,530,860,144,"62","",669,598,3.64,140,0.977
1989,"KCA",2,162,92,70,"N",690,5475,1428,227,41,101,554,897,154,"51","",635,572,3.55,111,0.982
1989,"LAN",4,160,77,83,"N",554,5465,1313,241,17,89,507,885,81,"54","",536,480,2.95,118,0.981
1989,"MIN",5,162,80,82,"N",740,5581,1542,278,35,117,478,743,111,"53","",738,680,4.28,107,0.982
1989,"ML4",4,162,81,81,"N",707,5473,1415,235,32,126,455,791,165,"62","",679,605,3.8,155,0.975
1989,"MON",4,162,81,81,"N",632,5482,1353,267,30,100,572,958,160,"70","",630,568,3.48,136,0.979
1989,"NYA",5,161,74,87,"N",698,5458,1470,229,23,130,502,831,137,"60","",792,707,4.5,122,0.98
1989,"NYN",2,162,87,75,"N",683,5489,1351,280,21,147,504,934,158,"53","",595,532,3.29,144,0.976
1989,"OAK",1,162,99,63,"Y",712,5416,1414,220,25,127,562,855,157,"55","",576,497,3.09,129,0.979
1989,"PHI",6,163,67,95,"N",629,5447,1324,215,36,123,558,926,106,"50","",735,643,4.04,133,0.979
1989,"PIT",5,164,74,88,"N",637,5539,1334,263,53,95,563,914,155,"69","",680,601,3.64,160,0.975
1989,"SDN",2,162,89,73,"N",642,5422,1360,215,32,120,552,1013,136,"67","",626,547,3.38,152,0.976
1989,"SEA",6,162,73,89,"N",694,5512,1417,237,29,134,489,838,81,"55","",728,639,4.0,143,0.977
1989,"SFN",1,162,92,70,"N",699,5469,1365,241,52,141,508,1071,87,"54","",600,534,3.3,113,0.982
1989,"SLN",3,164,86,76,"N",632,5492,1418,263,47,73,507,848,155,"54","",608,545,3.36,111,0.983
1989,"TEX",4,162,83,79,"N",695,5458,1433,260,46,122,503,989,101,"49","",714,623,3.91,136,0.978
1989,"TOR",1,162,89,73,"N",731,5581,1449,265,40,142,521,923,144,"58","",651,584,3.58,126,0.98
1990,"ATL",6,162,65,97,"N",682,5504,1376,263,26,162,473,1010,92,"55","",821,727,4.58,158,0.974
1990,"BAL",5,161,76,85,"N",669,5410,1328,234,22,132,660,962,94,"52","",698,644,4.04,91,0.985
1990,"BOS",1,162,88,74,"N",699,5516,1502,298,31,106,598,795,53,"52","",664,596,3.72,123,0.98
1990,"CAL",4,162,80,82,"N",690,5570,1448,237,27,147,566,1000,69,"43","",706,612,3.79,140,0.977
1990,"CHA",2,162,94,68,"N",682,5402,1393,251,44,106,478,903,140,"90","",633,581,3.61,124,0.98
1990,"CHN",4,162,77,85,"N",690,5600,1474,240,36,136,406,869,151,"50","",774,695,4.34,122,0.98
1990,"CIN",1,162,91,71,"Y",693,5525,1466,284,40,125,466,913,166,"66","",597,548,3.39,102,0.983
1990,"CLE",4,162,77,85,"N",732,5485,1465,266,41,110,458,836,107,"52","",737,675,4.26,117,0.981
1990,"DET",3,162,79,83,"N",750,5479,1418,241,32,172,634,952,82,"57","",754,698,4.39,131,0.979
1990,"HOU",4,162,75,87,"N",573,5379,1301,209,32,94,548,997,179,"83","",656,582,3.61,131,0.978
1990,"KCA",6,161,75,86,"N",707,5488,1465,316,44,100,498,879,107,"62","",709,620,3.93,122,0.98
1990,"LAN",2,162,86,76,"N",728,5491,1436,222,27,129,538,952,141,"65","",685,596,3.72,130,0.979
1990,"MIN",7,162,74,88,"N",666,5499,1458,281,39,100,445,749,96,"53","",729,657,4.12,101,0.983
1990,"ML4",6,162,74,88,"N",732,5503,1408,247,36,128,519,821,164,"72","",760,655,4.08,149,0.976
1990,"MON",3,162,85,77,"N",662,5453,1363,227,43,114,576,1024,235,"99","",598,552,3.37,110,0.982
1990,"NYA",7,162,67,95,"N",603,5483,1322,208,19,147,427,1027,119,"45","",749,675,4.21,126,0.98
1990,"NYN",2,162,91,71,"N",775,5504,1410,278,21,172,536,851,110,"33","",613,547,3.42,132,0.978
1990,"OAK",1,162,103,59,"N",733,5433,1379,209,22,164,651,992,141,"54","",570,514,3.18,87,0.986
1990,"PHI",4,162,77,85,"N",646,5535,1410,237,27,103,582,915,108,"35","",729,655,4.07,117,0.981
1990,"PIT",1,162,95,67,"N",733,5388,1395,288,42,138,582,914,137,"52","",619,547,3.4,134,0.979
1990,"SDN",4,162,75,87,"N",673,5554,1429,243,35,123,509,902,138,"59","",673,597,3.68,141,0.977
1990,"SEA",5,162,77,85,"N",640,5474,1419,251,26,107,596,749,105,"51","",680,592,3.69,130,0.979
1990,"SFN",3,162,85,77,"N",719,5573,1459,221,35,152,488,973,109,"56","",710,656,4.08,107,0.983
1990,"SLN",6,162,70,92,"N",599,5462,1398,255,41,73,517,844,221,"74","",698,620,3.87,129,0.979
1990,"TEX",3,162,83,79,"N",676,5469,1416,257,27,110,575,1054,115,"48","",696,615,3.83,133,0.979
1990,"TOR",2,162,86,76,"N",767,5589,1479,263,50,167,526,970,111,"52","",661,620,3.84,86,0.986
1991,"ATL",1,162,94,68,"N",749,5456,1407,255,30,141,563,906,165,"76","",644,563,3.49,138,0.978
1991,"BAL",6,162,67,95,"N",686,5604,1421,256,29,170,528,974,50,"33","",796,743,4.59,89,0.986
1991,"BOS",2,162,84,78,"N",731,5530,1486,305,25,126,593,820,59,"39","",712,641,4.01,116,0.981
1991,"CAL",7,162,81,81,"N",653,5470,1396,245,29,115,448,928,94,"56","",649,591,3.69,102,0.984
1991,"CHA",2,162,87,75,"N",758,5594,1464,226,39,139,610,896,134,"74","",681,622,3.79,116,0.982
1991,"CHN",4,160,77,83,"N",695,5522,1395,232,26,159,442,879,123,"64","",734,652,4.03,113,0.982
1991,"CIN",5,162,74,88,"N",689,5501,1419,250,27,164,488,1006,124,"56","",691,613,3.83,125,0.979
1991,"CLE",7,162,57,105,"N",576,5470,1390,236,26,79,449,888,84,"58","",759,677,4.23,142,0.976
1991,"DET",2,162,84,78,"N",817,5547,1372,259,26,209,699,1185,109,"47","",794,727,4.51,104,0.983
1991,"HOU",6,162,65,97,"N",605,5504,1345,240,43,79,502,1027,125,"68","",717,646,4.0,161,0.974
1991,"KCA",6,162,82,80,"N",727,5584,1475,290,41,117,523,969,119,"68","",722,639,3.92,125,0.98
1991,"LAN",2,162,93,69,"N",665,5408,1366,191,29,108,583,957,126,"68","",565,496,3.06,123,0.98
1991,"MIN",1,162,95,67,"Y",776,5556,1557,270,42,140,526,747,107,"68","",652,594,3.69,94,0.985
1991,"ML4",4,162,83,79,"N",799,5611,1523,247,53,116,556,802,106,"68","",744,673,4.14,118,0.981
1991,"MON",6,161,71,90,"N",579,5412,1329,236,42,95,484,1056,221,"100","",655,582,3.64,131,0.979
1991,"NYA",5,162,71,91,"N",674,5541,1418,249,19,147,473,861,109,"36","",777,709,4.42,133,0.979
1991,"NYN",5,161,77,84,"N",640,5359,1305,250,24,117,578,789,153,"70","",646,568,3.56,143,0.977
1991,"OAK",4,162,84,78,"N",760,5410,1342,246,19,159,642,981,151,"64","",776,733,4.57,107,0.982
1991,"PHI",3,162,78,84,"N",629,5521,1332,248,33,111,490,1026,92,"30","",680,627,3.86,116,0.981
1991,"PIT",1,162,98,64,"N",768,5449,1433,259,50,126,620,901,124,"46","",632,557,3.44,120,0.981
1991,"SDN",3,162,84,78,"N",636,5408,1321,204,36,121,501,1069,101,"64","",646,576,3.57,113,0.982
1991,"SEA",5,162,83,79,"N",702,5494,1400,268,29,126,588,811,97,"44","",674,617,3.79,110,0.983
1991,"SFN",4,162,75,87,"N",649,5463,1345,215,48,141,471,973,95,"57","",697,646,4.03,108,0.982
1991,"SLN",2,162,84,78,"N",651,5362,1366,239,53,68,532,857,202,"110","",648,588,3.69,105,0.983
1991,"TEX",3,162,85,77,"N",829,5703,1539,288,31,177,596,1039,102,"50","",814,735,4.47,134,0.979
1991,"TOR",1,162,91,71,"N",684,5489,1412,295,45,133,499,1043,148,"53","",622,569,3.5,127,0.98
1992,"ATL",1,162,98,64,"N",682,5480,1391,223,48,138,493,924,126,"60","",569,509,3.14,109,0.982
